iter	Passed	Remaining
0	4	478
1	8	432
2	13	420
3	17	410
4	21	408
5	25	400
6	30	408
7	35	405
8	39	398
9	42	386
10	46	372
11	48	355
12	50	340
13	53	327
14	56	320
15	59	311
16	61	301
17	64	291
18	66	283
19	68	275
20	70	264
21	72	255
22	73	246
23	75	238
24	76	230
25	78	223
26	80	216
27	81	209
28	83	203
29	86	200
30	88	196
31	90	192
32	96	195
33	98	190
34	101	188
35	105	187
36	107	182
37	109	178
38	111	173
39	113	169
40	114	165
41	116	161
42	118	157
43	119	152
44	121	148
45	123	145
46	125	141
47	127	137
48	129	134
49	133	133
50	135	130
51	137	126
52	139	123
53	141	120
54	143	117
55	144	113
56	146	110
57	148	107
58	151	105
59	152	101
60	154	98
61	156	96
62	158	93
63	160	90
64	162	87
65	164	84
66	165	81
67	167	78
68	169	76
69	171	73
70	173	70
71	174	67
72	177	65
73	179	62
74	180	60
75	182	57
76	183	54
77	186	52
78	187	49
79	189	47
80	191	44
81	193	42
82	195	39
83	196	37
84	198	34
85	200	32
86	202	30
87	203	27
88	206	25
89	207	23
90	209	20
91	210	18
92	212	16
93	214	13
94	216	11
95	218	9
96	220	6
97	222	4
98	224	2
99	225	0
